time,coll,supplied,totalsupply,apysupply,borrowed,borrowcap,apyborrow,price
26/10/2023 11:44:38,Asset cannot be used as collateral.,226580.0,360000.0,0.03%,11636.37,16000.00,0.80%,13.47
27/10/2023 02:14:26,Asset cannot be used as collateral.,223810.0,360000.0,0.04%,11636.53,16000.00,0.81%,13.47
27/10/2023 04:49:58,Asset cannot be used as collateral.,223830.0,360000.0,0.04%,11636.56,16000.00,0.81%,13.61
27/10/2023 09:28:30,Asset cannot be used as collateral.,223740.0,360000.0,0.04%,11679.11,16000.00,0.82%,13.47
27/10/2023 11:56:07,Asset cannot be used as collateral.,223740.0,360000.0,0.04%,11679.13,16000.00,0.82%,13.48
27/10/2023 12:23:44,Asset cannot be used as collateral.,223750.0,360000.0,0.04%,11679.14,16000.00,0.82%,13.48
27/10/2023 13:02:33,Asset cannot be used as collateral.,223750.0,360000.0,0.04%,11679.14,16000.00,0.82%,13.56
27/10/2023 13:24:55,Asset cannot be used as collateral.,223750.0,360000.0,0.04%,11679.15,16000.00,0.82%,13.56
27/10/2023 14:11:38,Asset cannot be used as collateral.,223750.0,360000.0,0.04%,11679.16,16000.00,0.82%,13.48
27/10/2023 14:39:27,Asset cannot be used as collateral.,226410.0,360000.0,0.05%,14491.61,16000.00,1.00%,13.40
27/10/2023 14:48:43,Asset cannot be used as collateral.,226410.0,360000.0,0.05%,14491.61,16000.00,1.00%,13.33
27/10/2023 14:58:37,Asset cannot be used as collateral.,226410.0,360000.0,0.05%,14491.62,16000.00,1.00%,13.33
27/10/2023 15:37:11,Asset cannot be used as collateral.,226410.0,360000.0,0.05%,14491.63,16000.00,1.00%,13.33
27/10/2023 16:17:25,Asset cannot be used as collateral.,226450.0,360000.0,0.05%,14491.64,16000.00,1.00%,13.33
27/10/2023 16:32:57,Asset cannot be used as collateral.,226450.0,360000.0,0.05%,14491.64,16000.00,1.00%,13.26
27/10/2023 16:46:43,Asset cannot be used as collateral.,226450.0,360000.0,0.05%,14491.65,16000.00,1.00%,13.26
27/10/2023 17:10:37,Asset cannot be used as collateral.,226450.0,360000.0,0.05%,14491.65,16000.00,1.00%,13.05
27/10/2023 17:24:24,Asset cannot be used as collateral.,226450.0,360000.0,0.05%,14491.66,16000.00,1.00%,12.96
27/10/2023 17:45:59,Asset cannot be used as collateral.,226440.0,360000.0,0.05%,14491.66,16000.00,1.00%,12.96
27/10/2023 18:17:01,Asset cannot be used as collateral.,226440.0,360000.0,0.05%,14491.67,16000.00,1.00%,12.96
27/10/2023 18:30:22,Asset cannot be used as collateral.,226440.0,360000.0,0.05%,14491.67,16000.00,1.00%,12.87
27/10/2023 18:40:22,Asset cannot be used as collateral.,226440.0,360000.0,0.05%,14491.68,16000.00,1.00%,12.87
27/10/2023 18:59:24,Asset cannot be used as collateral.,226440.0,360000.0,0.05%,14491.68,16000.00,1.00%,12.94
27/10/2023 19:12:31,Asset cannot be used as collateral.,226440.0,360000.0,0.05%,14491.69,16000.00,1.00%,12.94
27/10/2023 19:26:25,Asset cannot be used as collateral.,226450.0,360000.0,0.05%,14491.69,16000.00,1.00%,12.94
27/10/2023 19:46:05,Asset cannot be used as collateral.,226450.0,360000.0,0.05%,14491.69,16000.00,1.00%,13.01
27/10/2023 19:55:56,Asset cannot be used as collateral.,226450.0,360000.0,0.05%,14491.70,16000.00,1.00%,13.07
27/10/2023 20:26:28,Asset cannot be used as collateral.,226450.0,360000.0,0.05%,14491.71,16000.00,1.00%,13.07
27/10/2023 20:46:17,Asset cannot be used as collateral.,226450.0,360000.0,0.05%,14491.71,16000.00,1.00%,13.15
27/10/2023 21:11:10,Asset cannot be used as collateral.,226450.0,360000.0,0.05%,14491.72,16000.00,1.00%,13.15
27/10/2023 21:30:56,Asset cannot be used as collateral.,None,360000.0,0.06%,14941.72,16000.00,1.03%,13.15
27/10/2023 21:40:53,Asset cannot be used as collateral.,226820.0,360000.0,0.06%,14941.73,16000.00,1.03%,13.06
27/10/2023 22:00:38,Asset cannot be used as collateral.,226820.0,360000.0,0.06%,14941.73,16000.00,1.03%,12.99
27/10/2023 22:18:37,Asset cannot be used as collateral.,226820.0,360000.0,0.06%,14941.74,16000.00,1.03%,12.93
27/10/2023 22:47:58,Asset cannot be used as collateral.,226820.0,360000.0,0.06%,14941.75,16000.00,1.03%,12.86
27/10/2023 23:13:50,Asset cannot be used as collateral.,226820.0,360000.0,0.06%,14941.75,16000.00,1.03%,12.80
27/10/2023 23:26:27,Asset cannot be used as collateral.,226330.0,360000.0,0.06%,14941.76,16000.00,1.03%,12.87
27/10/2023 23:56:08,Asset cannot be used as collateral.,226330.0,360000.0,0.06%,14941.77,16000.00,1.03%,12.87
28/10/2023 00:54:40,Asset cannot be used as collateral.,226710.0,360000.0,0.06%,14941.78,16000.00,1.03%,12.87
28/10/2023 01:44:12,Asset cannot be used as collateral.,226710.0,360000.0,0.06%,14941.80,16000.00,1.03%,13.00
28/10/2023 02:11:38,Asset cannot be used as collateral.,226710.0,360000.0,0.06%,14941.81,16000.00,1.03%,13.00
